,tag,token0,token1,date,timestamp,token0_daily_price_median_mint,token0_daily_amount_mint,token0_daily_price_median_burn,token0_daily_amount_burn,token0_daily_amount_net_mint_burn,liquidity_daily_sum_mint,liquidity_daily_sum_burn,liquidity_daily_net_mint_burn,token0_daily_price_median_swap,token0_daily_price_min_swap,token0_daily_price_max_swap,token0_daily_price_std_swap,token0_daily_amount_buy_swap,token0_daily_amount_sell_swap,token0_daily_amount_net_swap,token0_daily_amount_cum_buy_swap,token0_daily_amount_cum_sell_swap,token0_daily_amount_cum_net_swap,total_events_daily_mint,total_events_daily_burn,total_events_daily_swap,total_events_daily,liquidity_daily_cum_sum_mint,liquidity_daily_cum_sum_burn
0,STRK_USDC,STRK,USDC,2024-02-11,1707609600,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1,0,0,1,0.0,0.0
1,STRK_USDC,STRK,USDC,2024-02-12,1707696000,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,2,0,0,2,0.0,0.0
2,STRK_USDC,STRK,USDC,2024-02-15,1707955200,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,1,0,0,1,0.0,0.0
3,STRK_USDC,STRK,USDC,2024-02-16,1708041600,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,8,1,0,9,0.0,0.0
4,STRK_USDC,STRK,USDC,2024-02-18,1708214400,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,24,1,0,25,0.0,0.0
5,STRK_USDC,STRK,USDC,2024-02-19,1708300800,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,52,7,0,59,0.0,0.0
6,STRK_USDC,STRK,USDC,2024-02-20,1708387200,1.9090794903930888,-183321.8975221283,1.584489038321782,44648.00772675459,-138673.88979537372,2.708225389553924e+19,-2.208160648478876e+19,5.000647410750476e+18,2.047533321618671,7.377416331081063,0.6035786535028757,0.4795619341281257,12550589.040756593,-14197928.144827556,-1647339.104070963,12550589.040756593,-14197928.144827556,-1647339.104070963,862,242,23125,24229,2.708225389553924e+19,-2.208160648478876e+19
7,STRK_USDC,STRK,USDC,2024-02-21,1708473600,1.8056813785247492,-389377.2824125662,1.4542217119075755,109645.62429302308,-279731.6581195431,9.319345260327995e+18,-5.716395919607795e+18,3.602949340720203e+18,1.92187905,2.161199557411045,1.6506830424822991,0.1097569001972701,6227421.256879624,-8672207.671531204,-2444786.41465158,6227421.256879624,-8672207.671531204,-2444786.41465158,973,262,16632,17867,9.319345260327995e+18,-5.716395919607795e+18
8,STRK_USDC,STRK,USDC,2024-02-22,1708560000,1.8320121286446835,-155357.74516321177,1.3111668361749085,54585.06937148504,-100772.67579172674,1.145120955320694e+19,-2.628619091294797e+18,8.822590461912143e+18,1.8743142260688184,12.7580411,1.505773987483736,0.2767351870275522,3738712.951278545,-4570703.760595173,-831990.8093166281,3738712.951278545,-4570703.760595173,-831990.8093166281,678,194,6297,7169,1.145120955320694e+19,-2.628619091294797e+18
9,STRK_USDC,STRK,USDC,2024-02-23,1708646400,1.978379551836066,-192005.12472924445,1.9699359014609212,53829.00462515692,-138176.12010408752,1.395348323598774e+19,-9.566336723349563e+18,4.387146512638173e+18,2.032387506666667,2.1691459016393444,1.861876103454756,0.0704728479769557,5736755.339580229,-7742900.315069935,-2006144.9754897067,5736755.339580229,-7742900.315069935,-2006144.9754897067,756,295,9289,10340,1.395348323598774e+19,-9.566336723349563e+18
10,STRK_USDC,STRK,USDC,2024-02-24,1708732800,1.9100559979997656,-347468.7138427538,1.9232481056000608,75090.56135832913,-272378.15248442465,1.0758479200864874e+20,-6.457278059056871e+18,1.0112751394959186e+20,1.9072052506823112,1.9488284018415447,1.8703409916695388,0.0158848082043507,2450191.764263756,-2790661.437828282,-340469.67356452625,2450191.764263756,-2790661.437828282,-340469.67356452625,2935,708,6534,10177,1.0758479200864874e+20,-6.457278059056871e+18
11,STRK_USDC,STRK,USDC,2024-02-25,1708819200,1.866175905146623,-25489.121742947907,1.8661757178705052,26377.24653171348,888.1247887655736,2.633311950345396e+18,-1.3263260881780296e+18,1.306985862167366e+18,1.9053810222222225,1.9195725589,1.8894047048228733,0.0063699384157373,362847.7738853415,-352687.10074936884,10160.67313597264,362847.7738853415,-352687.10074936884,10160.67313597264,566,167,804,1537,2.633311950345396e+18,-1.3263260881780296e+18
